index,timeStamp,userID,targetApp,eventType,url,content,target.workbookName,target.sheetName,target.id,target.class,target.tagName,target.type,target.name,target.value,target.innerText,target.checked,target.href,target.option,target.title,target.innerHTML,case_id,new_guess_col,time_diff,TAP,TOK_TAP,TOK_TAP_is_cut,TOK_MPTAP_is_cut,TOK_MPTAP,TAP_is_cut,TAP_discovered_case,next_activity,pair,MPTAP,MPTAP_is_cut,MPTAP_discovered_case
0,2020-02-25 00:36:16.639,vleno,Chrome,navigate_to,https://form.jotform.com/200477494954062,,,,,,,,,,,,,,,,0,False,4.466,4.466,0.0,False,False,-1.0,False,0.0,copyCell,navigate_to_copyCell,4.466,False,0.0
1,2020-02-25 00:36:21.105,vleno,Excel,copyCell,,John Doe,reimbursement.xlsx,Student details,A2,,,,,John Doe,,,,,,,0,False,3.177,3.177,-1.2890000000000001,False,False,-2.289,False,0.0,paste,copyCell_paste,2.391431767337808,False,0.0
2,2020-02-25 00:36:24.282,vleno,Chrome,paste,https://form.jotform.com/200477494954062,John Doe,,,first_3,,INPUT,text,q3_name[first],,,,,,,,0,False,1.895,1.895,-2.450184536048535,False,False,-2.165008606816554,False,0.0,editField,paste_editField,1.3863410283315845,False,0.0
3,2020-02-25 00:36:26.177,vleno,Chrome,editField,https://form.jotform.com/200477494954062,,,,first_3,,INPUT,text,q3_name[first],John,,,,,,,0,False,0.36,0.36,-3.7441313496742885,False,False,-3.2236638811085547,False,0.0,paste,editField_paste,4.407218061674008,False,0.0
4,2020-02-25 00:36:26.537,vleno,Chrome,paste,https://form.jotform.com/200477494954062,John Doe,,,last_3,,INPUT,text,q3_name[last],,,,,,,,0,False,2.12,2.12,-1.7354319934995224,False,False,-1.177247952530903,False,0.0,editField,paste_editField,1.3863410283315845,False,0.0
5,2020-02-25 00:36:28.657,vleno,Chrome,editField,https://form.jotform.com/200477494954062,,,,last_3,,INPUT,text,q3_name[last],Doe,,,,,,,0,False,4.025,4.025,0.3035082551145596,True,True,0.9986902631199732,False,0.0,copyCell,editField_copyCell,3.1918885714285716,False,0.0
6,2020-02-25 00:36:32.682,vleno,Excel,copyCell,,959933,reimbursement.xlsx,Student details,B2,,,,,959933,,,,,,,0,False,2.839,2.839,-0.928890069052025,False,False,-0.22305293106249158,False,0.0,paste,copyCell_paste,2.391431767337808,False,0.0
7,2020-02-25 00:36:35.521,vleno,Chrome,paste,https://form.jotform.com/200477494954062,959933,,,input_6,,INPUT,text,q6_studentId,,,,,,,,0,False,1.361,1.361,-2.357392920064491,False,False,-1.4318380850701262,False,0.0,editField,paste_editField,1.3863410283315845,False,0.0
8,2020-02-25 00:36:36.882,vleno,Chrome,editField,https://form.jotform.com/200477494954062,,,,input_6,,INPUT,text,q6_studentId,959933,,,,,,,0,False,10.543,10.543,6.931136663927405,True,True,4.176383772431324,True,0.0,copyCell,editField_copyCell,3.1918885714285716,False,0.0
9,2020-02-25 00:36:47.425,vleno,Excel,copyCell,,jdoe@gmail.com,reimbursement.xlsx,Student details,G2,,,,,jdoe@gmail.com,,,,,,,0,False,4.728,4.728,0.4346532249577919,True,True,0.4737171057646572,False,1.0,paste,copyCell_paste,2.391431767337808,False,0.0
10,2020-02-25 00:36:52.153,vleno,Chrome,paste,https://form.jotform.com/200477494954062,jdoe@gmail.com,,,input_4,,INPUT,email,q4_email,,,,,,,,0,False,0.624,0.624,-3.70376621667794,False,False,-1.6804420682811618,False,1.0,editField,paste_editField,1.3863410283315845,False,0.0
11,2020-02-25 00:36:52.777,vleno,Chrome,editField,https://form.jotform.com/200477494954062,,,,input_4,,INPUT,email,q4_email,jdoe@gmail.com,,,,,,,0,False,4.193,4.193,-0.013477314712662114,False,True,3.1773542155688084,False,1.0,copyCell,editField_copyCell,3.1918885714285716,False,0.0
12,2020-02-25 00:36:56.970,vleno,Excel,copyCell,,+61 039 689 9324,reimbursement.xlsx,Student details,H2,,,,,+61 039 689 9324,,,,,,,0,False,2.431,2.431,-1.7857074647065136,False,False,-0.18457355142981502,False,1.0,paste,copyCell_paste,2.391431767337808,False,0.0
13,2020-02-25 00:36:59.401,vleno,Chrome,paste,https://form.jotform.com/200477494954062,+61 039 689 9324,,,input_7_area,,INPUT,tel,q7_phoneNumber[area],,,,,,,,0,False,2.769,2.769,-1.3956583025624063,False,False,-1.7254104932253052,False,1.0,editField,paste_editField,1.3863410283315845,False,0.0
14,2020-02-25 00:37:02.170,vleno,Chrome,editField,https://form.jotform.com/200477494954062,,,,input_7_area,,INPUT,tel,q7_phoneNumber[area],+61,,,,,,,0,False,0.481,0.481,-3.645284502900763,False,False,-2.9732768271754018,False,1.0,paste,editField_paste,4.407218061674008,False,0.0
15,2020-02-25 00:37:02.651,vleno,Chrome,paste,https://form.jotform.com/200477494954062,+61 039 689 9324,,,input_7_phone,,INPUT,tel,q7_phoneNumber[phone],,,,,,,,0,False,2.91,2.91,-1.1323313075488848,False,False,-1.3368771015642251,False,1.0,editField,paste_editField,1.3863410283315845,False,0.0
